formla,formula,score
dt_k1_tarski,dt_k1_xboole_0,0.0
dt_k1_tarski,dt_k4_xboole_0,0.0
dt_k1_xboole_0,dt_k4_xboole_0,0.0
t6_boole,t7_boole,0.0
t8_boole,t7_boole,0.0
antisymmetry_r2_hidden,l35_zfmisc_1,0.0
antisymmetry_r2_hidden,t7_boole,0.0
antisymmetry_r2_hidden,d1_tarski,0.0
l35_zfmisc_1,t7_boole,0.0
t7_boole,d1_tarski,0.0
t6_boole,t8_boole,2.0
t8_boole,d1_tarski,3.0
t4_boole,t3_boole,4.0
t6_boole,dt_o_0_0_xboole_0,4.0
t8_boole,dt_o_0_0_xboole_0,4.0
dt_o_0_0_xboole_0,t7_boole,4.0
t4_boole,t21_zfmisc_1,6.0
t6_boole,t21_zfmisc_1,6.0
t8_boole,t21_zfmisc_1,6.0
t21_zfmisc_1,d1_tarski,6.0
t21_zfmisc_1,t3_boole,6.30448644353476
t3_boole,d1_tarski,7.571724987168773
t4_boole,t6_boole,8.0
t4_boole,l35_zfmisc_1,8.0
t21_zfmisc_1,l35_zfmisc_1,8.0
t8_boole,t3_boole,8.466832242503168
t6_boole,d1_tarski,9.0
l35_zfmisc_1,d1_tarski,9.333333333333334
t4_boole,d1_tarski,10.5
t4_boole,t8_boole,12.0
t6_boole,t3_boole,12.316137715318517
l35_zfmisc_1,t3_boole,12.98841962028647
t6_boole,l35_zfmisc_1,16.0
t8_boole,l35_zfmisc_1,24.0
dt_k1_tarski,t4_boole,inf
dt_k1_tarski,t6_boole,inf
dt_k1_tarski,t8_boole,inf
dt_k1_tarski,dt_o_0_0_xboole_0,inf
dt_k1_tarski,antisymmetry_r2_hidden,inf
dt_k1_tarski,t21_zfmisc_1,inf
dt_k1_tarski,l35_zfmisc_1,inf
dt_k1_tarski,t3_boole,inf
dt_k1_tarski,t7_boole,inf
dt_k1_tarski,d1_tarski,inf
t4_boole,dt_k1_xboole_0,inf
t4_boole,dt_o_0_0_xboole_0,inf
t4_boole,antisymmetry_r2_hidden,inf
t4_boole,dt_k4_xboole_0,inf
t4_boole,t7_boole,inf
dt_k1_xboole_0,t6_boole,inf
dt_k1_xboole_0,t8_boole,inf
dt_k1_xboole_0,dt_o_0_0_xboole_0,inf
dt_k1_xboole_0,antisymmetry_r2_hidden,inf
dt_k1_xboole_0,t21_zfmisc_1,inf
dt_k1_xboole_0,l35_zfmisc_1,inf
dt_k1_xboole_0,t3_boole,inf
dt_k1_xboole_0,t7_boole,inf
dt_k1_xboole_0,d1_tarski,inf
t6_boole,antisymmetry_r2_hidden,inf
t6_boole,dt_k4_xboole_0,inf
t8_boole,antisymmetry_r2_hidden,inf
t8_boole,dt_k4_xboole_0,inf
dt_o_0_0_xboole_0,antisymmetry_r2_hidden,inf
dt_o_0_0_xboole_0,t21_zfmisc_1,inf
dt_o_0_0_xboole_0,dt_k4_xboole_0,inf
dt_o_0_0_xboole_0,l35_zfmisc_1,inf
dt_o_0_0_xboole_0,t3_boole,inf
dt_o_0_0_xboole_0,d1_tarski,inf
antisymmetry_r2_hidden,t21_zfmisc_1,inf
antisymmetry_r2_hidden,dt_k4_xboole_0,inf
antisymmetry_r2_hidden,t3_boole,inf
t21_zfmisc_1,dt_k4_xboole_0,inf
t21_zfmisc_1,t7_boole,inf
dt_k4_xboole_0,l35_zfmisc_1,inf
dt_k4_xboole_0,t3_boole,inf
dt_k4_xboole_0,t7_boole,inf
dt_k4_xboole_0,d1_tarski,inf
t3_boole,t7_boole,inf
