formla,formula,score
d7_xboole_0,t3_xboole_0,0.0
d7_xboole_0,t5_xboole_0,0.0
d7_xboole_0,symmetry_r1_xboole_0,0.0
d7_xboole_0,t4_xboole_0,0.0
d5_xboole_0,d1_xboole_0,0.0
d5_xboole_0,d3_tarski,0.0
d5_xboole_0,t3_xboole_0,0.0
d5_xboole_0,t7_boole,0.0
d5_xboole_0,antisymmetry_r2_hidden,0.0
d5_xboole_0,t6_xboole_0,0.0
rc1_xboole_0,l13_xboole_0,0.0
rc1_xboole_0,t8_boole,0.0
rc1_xboole_0,d1_xboole_0,0.0
rc1_xboole_0,t7_boole,0.0
rc1_xboole_0,rc2_xboole_0,0.0
rc1_xboole_0,t6_boole,0.0
dt_k1_xboole_0,dt_k3_xboole_0,0.0
dt_k1_xboole_0,dt_k4_xboole_0,0.0
dt_k1_xboole_0,dt_k5_xboole_0,0.0
dt_k1_xboole_0,dt_k2_xboole_0,0.0
l13_xboole_0,t7_xboole_0,0.0
l13_xboole_0,d1_xboole_0,0.0
l13_xboole_0,t7_boole,0.0
l13_xboole_0,rc2_xboole_0,0.0
l13_xboole_0,t3_xboole_1,0.0
l13_xboole_0,t6_boole,0.0
t8_boole,d1_xboole_0,0.0
t8_boole,t7_boole,0.0
t8_boole,rc2_xboole_0,0.0
t8_boole,d8_xboole_0,0.0
t8_boole,d10_xboole_0,0.0
t8_boole,t2_tarski,0.0
dt_k3_xboole_0,dt_k4_xboole_0,0.0
dt_k3_xboole_0,dt_k5_xboole_0,0.0
dt_k3_xboole_0,dt_k2_xboole_0,0.0
dt_k4_xboole_0,dt_k5_xboole_0,0.0
dt_k4_xboole_0,dt_k2_xboole_0,0.0
t7_xboole_0,t3_xboole_1,0.0
t7_xboole_0,t6_boole,0.0
d3_xboole_0,d1_xboole_0,0.0
d3_xboole_0,d3_tarski,0.0
d3_xboole_0,t3_xboole_0,0.0
d3_xboole_0,t7_boole,0.0
d3_xboole_0,antisymmetry_r2_hidden,0.0
d3_xboole_0,t6_xboole_0,0.0
d1_xboole_0,d3_tarski,0.0
d1_xboole_0,d4_xboole_0,0.0
d1_xboole_0,t3_xboole_0,0.0
d1_xboole_0,t7_boole,0.0
d1_xboole_0,antisymmetry_r2_hidden,0.0
d1_xboole_0,rc2_xboole_0,0.0
d1_xboole_0,t6_boole,0.0
d1_xboole_0,t2_xboole_0,0.0
d1_xboole_0,t6_xboole_0,0.0
d1_xboole_0,t2_tarski,0.0
d3_tarski,d4_xboole_0,0.0
d3_tarski,t3_xboole_0,0.0
d3_tarski,t7_boole,0.0
d3_tarski,antisymmetry_r2_hidden,0.0
d3_tarski,t1_xboole_1,0.0
d3_tarski,d8_xboole_0,0.0
d3_tarski,t2_xboole_0,0.0
d3_tarski,d10_xboole_0,0.0
d3_tarski,t6_xboole_0,0.0
d3_tarski,t2_tarski,0.0
d4_xboole_0,t3_xboole_0,0.0
d4_xboole_0,t7_boole,0.0
d4_xboole_0,antisymmetry_r2_hidden,0.0
d4_xboole_0,t6_xboole_0,0.0
t3_xboole_0,t7_boole,0.0
t3_xboole_0,antisymmetry_r2_hidden,0.0
t3_xboole_0,symmetry_r1_xboole_0,0.0
t3_xboole_0,t2_xboole_0,0.0
t3_xboole_0,t6_xboole_0,0.0
t3_xboole_0,t2_tarski,0.0
t7_boole,antisymmetry_r2_hidden,0.0
t7_boole,rc2_xboole_0,0.0
t7_boole,t6_boole,0.0
t7_boole,t2_xboole_0,0.0
t7_boole,t6_xboole_0,0.0
t7_boole,t2_tarski,0.0
t5_xboole_0,symmetry_r1_xboole_0,0.0
antisymmetry_r2_hidden,t2_xboole_0,0.0
antisymmetry_r2_hidden,t6_xboole_0,0.0
antisymmetry_r2_hidden,t2_tarski,0.0
rc2_xboole_0,t6_boole,0.0
t3_xboole_1,t6_boole,0.0
symmetry_r1_xboole_0,t4_xboole_0,0.0
antisymmetry_r2_xboole_0,d8_xboole_0,0.0
antisymmetry_r2_xboole_0,t6_xboole_0,0.0
t1_xboole_1,d8_xboole_0,0.0
t1_xboole_1,d10_xboole_0,0.0
d8_xboole_0,d10_xboole_0,0.0
d8_xboole_0,t6_xboole_0,0.0
d8_xboole_0,t2_tarski,0.0
t2_xboole_0,t6_xboole_0,0.0
d10_xboole_0,t2_tarski,0.0
t6_xboole_0,t2_tarski,0.0
dt_k5_xboole_0,dt_k2_xboole_0,0.0
d5_xboole_0,t2_tarski,0.4897959183673469
d3_xboole_0,t2_tarski,0.4897959183673469
d4_xboole_0,t2_tarski,0.4897959183673469
t2_xboole_0,t2_tarski,0.4897959183673469
d5_xboole_0,d3_xboole_0,0.64
d5_xboole_0,d4_xboole_0,0.64
d5_xboole_0,t2_xboole_0,0.64
d3_xboole_0,d4_xboole_0,0.64
d3_xboole_0,t2_xboole_0,0.64
d4_xboole_0,t2_xboole_0,0.64
t8_xboole_1,t1_xboole_1,0.6666666666666666
antisymmetry_r2_hidden,t1_xboole_0,0.6666666666666666
d5_xboole_0,t1_xboole_0,0.8888888888888888
d3_xboole_0,t1_xboole_0,0.8888888888888888
d4_xboole_0,t1_xboole_0,0.8888888888888888
t5_xboole_0,antisymmetry_r2_hidden,0.8888888888888888
t1_xboole_0,t2_xboole_0,0.8888888888888888
t3_xboole_0,t5_xboole_0,0.9795918367346939
t8_xboole_1,d10_xboole_0,1.0
rc1_xboole_0,fc5_xboole_0,1.0
rc1_xboole_0,fc4_xboole_0,1.0
fc5_xboole_0,rc2_xboole_0,1.0
fc5_xboole_0,fc4_xboole_0,1.0
d3_tarski,t1_xboole_0,1.0
t3_xboole_0,t1_xboole_0,1.0
rc2_xboole_0,fc4_xboole_0,1.0
t1_xboole_0,t6_xboole_0,1.0
t1_xboole_0,t2_tarski,1.0
t1_xboole_1,t10_xboole_1,1.0
irreflexivity_r2_xboole_0,antisymmetry_r2_xboole_0,1.0986122886681098
t7_xboole_1,t10_xboole_1,1.1409370009790836
d5_xboole_0,t5_xboole_0,1.1851851851851851
d3_xboole_0,t5_xboole_0,1.1851851851851851
d4_xboole_0,t5_xboole_0,1.1851851851851851
t5_xboole_0,t2_xboole_0,1.1851851851851851
d1_xboole_0,t1_xboole_0,1.3333333333333333
d3_tarski,t5_xboole_0,1.3333333333333333
t7_boole,t1_xboole_0,1.3333333333333333
t5_xboole_0,t6_xboole_0,1.3333333333333333
t5_xboole_0,t2_tarski,1.3333333333333333
t10_xboole_1,d10_xboole_0,1.5
t8_xboole_1,t10_xboole_1,1.6666666666666667
d1_xboole_0,t5_xboole_0,1.7777777777777777
t7_boole,t5_xboole_0,1.7777777777777777
t5_xboole_0,t1_xboole_0,1.7777777777777777
t8_xboole_1,d3_tarski,2.0
t8_xboole_1,t9_xboole_1,2.0
t8_xboole_1,d8_xboole_0,2.0
rc1_xboole_0,dt_o_0_0_xboole_0,2.0
rc1_xboole_0,fc1_xboole_0,2.0
l13_xboole_0,t8_boole,2.0
l13_xboole_0,fc5_xboole_0,2.0
l13_xboole_0,fc4_xboole_0,2.0
t8_boole,fc5_xboole_0,2.0
t8_boole,fc4_xboole_0,2.0
t8_boole,t6_boole,2.0
t2_xboole_1,t1_xboole_1,2.0
dt_o_0_0_xboole_0,rc2_xboole_0,2.0
fc5_xboole_0,d1_xboole_0,2.0
fc5_xboole_0,t7_boole,2.0
fc5_xboole_0,t6_boole,2.0
d1_xboole_0,fc4_xboole_0,2.0
t7_boole,fc4_xboole_0,2.0
rc2_xboole_0,fc1_xboole_0,2.0
t9_xboole_1,t1_xboole_1,2.0
fc4_xboole_0,t6_boole,2.0
t9_xboole_1,t10_xboole_1,2.0298062108190402
t7_xboole_1,t1_xboole_1,2.052689619219753
t4_xboole_1,t5_xboole_1,2.567156090692624
t8_xboole_1,t2_xboole_1,2.6666666666666665
t3_xboole_0,t4_xboole_0,2.6666666666666665
t1_boole,idempotence_k2_xboole_0,2.6852191708626694
t9_xboole_1,t7_xboole_1,2.7832623513987267
t8_xboole_1,t7_xboole_1,2.8222774141677225
t2_xboole_1,t10_xboole_1,3.0
t2_xboole_1,d10_xboole_0,3.0
dt_o_0_0_xboole_0,fc5_xboole_0,3.0
dt_o_0_0_xboole_0,fc4_xboole_0,3.0
fc5_xboole_0,fc1_xboole_0,3.0
d3_tarski,t10_xboole_1,3.0
t9_xboole_1,d10_xboole_0,3.0
fc4_xboole_0,fc1_xboole_0,3.0
d8_xboole_0,t10_xboole_1,3.0
t7_xboole_1,d10_xboole_0,3.1750620909386877
irreflexivity_r2_xboole_0,d8_xboole_0,3.295836866004329
irreflexivity_r2_xboole_0,t6_xboole_0,3.295836866004329
d7_xboole_0,t7_xboole_0,4.0
l13_xboole_0,dt_o_0_0_xboole_0,4.0
l13_xboole_0,fc1_xboole_0,4.0
t8_boole,dt_o_0_0_xboole_0,4.0
t8_boole,t7_xboole_0,4.0
t8_boole,fc1_xboole_0,4.0
t2_xboole_1,t9_xboole_1,4.0
dt_o_0_0_xboole_0,d1_xboole_0,4.0
dt_o_0_0_xboole_0,t7_boole,4.0
dt_o_0_0_xboole_0,fc1_xboole_0,4.0
dt_o_0_0_xboole_0,t6_boole,4.0
d1_xboole_0,fc1_xboole_0,4.0
t7_boole,fc1_xboole_0,4.0
t5_xboole_0,t4_xboole_0,4.0
antisymmetry_r2_hidden,t4_xboole_0,4.0
t3_xboole_1,t1_xboole_1,4.0
t3_xboole_1,d10_xboole_0,4.0
fc1_xboole_0,t6_boole,4.0
idempotence_k3_xboole_0,idempotence_k2_xboole_0,4.0
t2_xboole_1,t7_xboole_1,4.233416121251584
t7_xboole_0,idempotence_k3_xboole_0,4.448209337272299
t7_xboole_0,idempotence_k2_xboole_0,4.448209337272299
commutativity_k2_xboole_0,t1_boole,4.866954717550927
t8_xboole_1,t3_xboole_1,5.333333333333333
d5_xboole_0,t4_xboole_0,5.333333333333333
d3_xboole_0,t4_xboole_0,5.333333333333333
d4_xboole_0,t4_xboole_0,5.333333333333333
t4_xboole_0,t1_xboole_0,5.333333333333333
t4_xboole_0,t2_xboole_0,5.333333333333333
