formula,formula,score
dt_o_0_0_xboole_0,dt_m1_subset_1,inf
dt_o_0_0_xboole_0,t3_subset,inf
dt_o_0_0_xboole_0,t8_boole,4.0
dt_o_0_0_xboole_0,d13_setfam_1,inf
dt_o_0_0_xboole_0,dt_k1_zfmisc_1,inf
dt_o_0_0_xboole_0,t5_subset,6.0
dt_o_0_0_xboole_0,t1_subset,inf
dt_o_0_0_xboole_0,existence_m1_subset_1,inf
dt_o_0_0_xboole_0,t2_subset,6.0
dt_o_0_0_xboole_0,t7_boole,4.0
dt_o_0_0_xboole_0,dt_k1_xboole_0,inf
dt_o_0_0_xboole_0,t6_boole,4.0
dt_o_0_0_xboole_0,antisymmetry_r2_hidden,inf
dt_o_0_0_xboole_0,t4_subset,inf
dt_o_0_0_xboole_0,t62_setfam_1,inf
dt_m1_subset_1,t3_subset,inf
dt_m1_subset_1,t8_boole,inf
dt_m1_subset_1,d13_setfam_1,inf
dt_m1_subset_1,dt_k1_zfmisc_1,0.0
dt_m1_subset_1,t5_subset,inf
dt_m1_subset_1,t1_subset,inf
dt_m1_subset_1,existence_m1_subset_1,inf
dt_m1_subset_1,t2_subset,inf
dt_m1_subset_1,t7_boole,inf
dt_m1_subset_1,dt_k1_xboole_0,0.0
dt_m1_subset_1,t6_boole,inf
dt_m1_subset_1,antisymmetry_r2_hidden,inf
dt_m1_subset_1,t4_subset,inf
dt_m1_subset_1,t62_setfam_1,inf
t3_subset,t8_boole,inf
t3_subset,d13_setfam_1,12.0
t3_subset,dt_k1_zfmisc_1,inf
t3_subset,t5_subset,0.0
t3_subset,t1_subset,8.0
t3_subset,existence_m1_subset_1,4.0
t3_subset,t2_subset,12.0
t3_subset,t7_boole,inf
t3_subset,dt_k1_xboole_0,inf
t3_subset,t6_boole,inf
t3_subset,antisymmetry_r2_hidden,inf
t3_subset,t4_subset,3.0
t3_subset,t62_setfam_1,4.444444444444445
t8_boole,d13_setfam_1,inf
t8_boole,dt_k1_zfmisc_1,inf
t8_boole,t5_subset,0.0
t8_boole,t1_subset,inf
t8_boole,existence_m1_subset_1,inf
t8_boole,t2_subset,0.0
t8_boole,t7_boole,0.0
t8_boole,dt_k1_xboole_0,inf
t8_boole,t6_boole,2.0
t8_boole,antisymmetry_r2_hidden,inf
t8_boole,t4_subset,inf
t8_boole,t62_setfam_1,inf
d13_setfam_1,dt_k1_zfmisc_1,inf
d13_setfam_1,t5_subset,4.5
d13_setfam_1,t1_subset,3.0
d13_setfam_1,existence_m1_subset_1,6.0
d13_setfam_1,t2_subset,4.5
d13_setfam_1,t7_boole,0.0
d13_setfam_1,dt_k1_xboole_0,inf
d13_setfam_1,t6_boole,inf
d13_setfam_1,antisymmetry_r2_hidden,0.0
d13_setfam_1,t4_subset,4.0
d13_setfam_1,t62_setfam_1,0.0
dt_k1_zfmisc_1,t5_subset,inf
dt_k1_zfmisc_1,t1_subset,inf
dt_k1_zfmisc_1,existence_m1_subset_1,inf
dt_k1_zfmisc_1,t2_subset,inf
dt_k1_zfmisc_1,t7_boole,inf
dt_k1_zfmisc_1,dt_k1_xboole_0,0.0
dt_k1_zfmisc_1,t6_boole,inf
dt_k1_zfmisc_1,antisymmetry_r2_hidden,inf
dt_k1_zfmisc_1,t4_subset,inf
dt_k1_zfmisc_1,t62_setfam_1,inf
t5_subset,t1_subset,3.0
t5_subset,existence_m1_subset_1,6.0
t5_subset,t2_subset,2.0
t5_subset,t7_boole,0.0
t5_subset,dt_k1_xboole_0,inf
t5_subset,t6_boole,0.0
t5_subset,antisymmetry_r2_hidden,0.0
t5_subset,t4_subset,2.0
t5_subset,t62_setfam_1,15.0
t1_subset,existence_m1_subset_1,0.0
t1_subset,t2_subset,0.0
t1_subset,t7_boole,0.0
t1_subset,dt_k1_xboole_0,inf
t1_subset,t6_boole,inf
t1_subset,antisymmetry_r2_hidden,0.0
t1_subset,t4_subset,1.3333333333333333
t1_subset,t62_setfam_1,10.0
existence_m1_subset_1,t2_subset,0.0
existence_m1_subset_1,t7_boole,inf
existence_m1_subset_1,dt_k1_xboole_0,inf
existence_m1_subset_1,t6_boole,inf
existence_m1_subset_1,antisymmetry_r2_hidden,inf
existence_m1_subset_1,t4_subset,1.5
existence_m1_subset_1,t62_setfam_1,5.0
t2_subset,t7_boole,0.0
t2_subset,dt_k1_xboole_0,inf
t2_subset,t6_boole,0.0
t2_subset,antisymmetry_r2_hidden,0.0
t2_subset,t4_subset,2.0
t2_subset,t62_setfam_1,15.0
t7_boole,dt_k1_xboole_0,inf
t7_boole,t6_boole,0.0
t7_boole,antisymmetry_r2_hidden,0.0
t7_boole,t4_subset,0.0
t7_boole,t62_setfam_1,inf
dt_k1_xboole_0,t6_boole,inf
dt_k1_xboole_0,antisymmetry_r2_hidden,inf
dt_k1_xboole_0,t4_subset,inf
dt_k1_xboole_0,t62_setfam_1,inf
t6_boole,antisymmetry_r2_hidden,inf
t6_boole,t4_subset,inf
t6_boole,t62_setfam_1,inf
antisymmetry_r2_hidden,t4_subset,0.0
antisymmetry_r2_hidden,t62_setfam_1,inf
t4_subset,t62_setfam_1,7.5
