formula,formula,score
t8_boole,dt_m1_subset_1,inf
t8_boole,dt_k1_zfmisc_1,inf
t8_boole,dt_l1_struct_0,inf
t8_boole,t5_subset,0.0
t8_boole,t7_boole,0.0
t8_boole,t6_boole,2.0
t8_boole,antisymmetry_r2_hidden,inf
t8_boole,t4_subset,inf
t8_boole,dt_o_0_0_xboole_0,4.0
t8_boole,t3_subset,inf
t8_boole,d2_xboole_0,8.0
t8_boole,dt_k1_xboole_0,inf
t8_boole,dt_m1_setfam_1,inf
t8_boole,dt_u1_struct_0,inf
t8_boole,existence_m1_setfam_1,inf
t8_boole,t1_subset,inf
t8_boole,existence_l1_struct_0,inf
t8_boole,t2_subset,0.0
t8_boole,existence_m1_subset_1,inf
t8_boole,t3_waybel_9,16.0
dt_m1_subset_1,dt_k1_zfmisc_1,0.0
dt_m1_subset_1,dt_l1_struct_0,0.0
dt_m1_subset_1,t5_subset,inf
dt_m1_subset_1,t7_boole,inf
dt_m1_subset_1,t6_boole,inf
dt_m1_subset_1,antisymmetry_r2_hidden,inf
dt_m1_subset_1,t4_subset,inf
dt_m1_subset_1,dt_o_0_0_xboole_0,inf
dt_m1_subset_1,t3_subset,inf
dt_m1_subset_1,d2_xboole_0,inf
dt_m1_subset_1,dt_k1_xboole_0,0.0
dt_m1_subset_1,dt_m1_setfam_1,0.0
dt_m1_subset_1,dt_u1_struct_0,0.0
dt_m1_subset_1,existence_m1_setfam_1,inf
dt_m1_subset_1,t1_subset,inf
dt_m1_subset_1,existence_l1_struct_0,inf
dt_m1_subset_1,t2_subset,inf
dt_m1_subset_1,existence_m1_subset_1,inf
dt_m1_subset_1,t3_waybel_9,inf
dt_k1_zfmisc_1,dt_l1_struct_0,0.0
dt_k1_zfmisc_1,t5_subset,inf
dt_k1_zfmisc_1,t7_boole,inf
dt_k1_zfmisc_1,t6_boole,inf
dt_k1_zfmisc_1,antisymmetry_r2_hidden,inf
dt_k1_zfmisc_1,t4_subset,inf
dt_k1_zfmisc_1,dt_o_0_0_xboole_0,inf
dt_k1_zfmisc_1,t3_subset,inf
dt_k1_zfmisc_1,d2_xboole_0,inf
dt_k1_zfmisc_1,dt_k1_xboole_0,0.0
dt_k1_zfmisc_1,dt_m1_setfam_1,0.0
dt_k1_zfmisc_1,dt_u1_struct_0,0.0
dt_k1_zfmisc_1,existence_m1_setfam_1,inf
dt_k1_zfmisc_1,t1_subset,inf
dt_k1_zfmisc_1,existence_l1_struct_0,inf
dt_k1_zfmisc_1,t2_subset,inf
dt_k1_zfmisc_1,existence_m1_subset_1,inf
dt_k1_zfmisc_1,t3_waybel_9,inf
dt_l1_struct_0,t5_subset,inf
dt_l1_struct_0,t7_boole,inf
dt_l1_struct_0,t6_boole,inf
dt_l1_struct_0,antisymmetry_r2_hidden,inf
dt_l1_struct_0,t4_subset,inf
dt_l1_struct_0,dt_o_0_0_xboole_0,inf
dt_l1_struct_0,t3_subset,inf
dt_l1_struct_0,d2_xboole_0,inf
dt_l1_struct_0,dt_k1_xboole_0,0.0
dt_l1_struct_0,dt_m1_setfam_1,0.0
dt_l1_struct_0,dt_u1_struct_0,0.0
dt_l1_struct_0,existence_m1_setfam_1,inf
dt_l1_struct_0,t1_subset,inf
dt_l1_struct_0,existence_l1_struct_0,inf
dt_l1_struct_0,t2_subset,inf
dt_l1_struct_0,existence_m1_subset_1,inf
dt_l1_struct_0,t3_waybel_9,inf
t5_subset,t7_boole,0.0
t5_subset,t6_boole,0.0
t5_subset,antisymmetry_r2_hidden,0.0
t5_subset,t4_subset,2.0
