formula,formula,score
t68_xboole_1,t62_xboole_1,inf
t68_xboole_1,t32_xboole_1,inf
t68_xboole_1,t39_xboole_1,inf
t68_xboole_1,t41_xboole_1,inf
t68_xboole_1,t36_xboole_1,5.41866175903543
t68_xboole_1,d8_xboole_0,0.0
t68_xboole_1,d3_tarski,0.0
t68_xboole_1,t40_xboole_1,inf
t68_xboole_1,t23_xboole_1,inf
t68_xboole_1,t66_xboole_1,17.577796618689757
t68_xboole_1,t34_xboole_1,4.0
t68_xboole_1,t8_xboole_1,1.3333333333333333
t68_xboole_1,dt_k3_xboole_0,inf
t68_xboole_1,t1_xboole_1,0.0
t68_xboole_1,t7_boole,0.0
t68_xboole_1,d1_xboole_0,0.0
t68_xboole_1,t37_xboole_1,0.0
t68_xboole_1,commutativity_k3_xboole_0,inf
t68_xboole_1,dt_k5_xboole_0,inf
t68_xboole_1,t3_boole,inf
t68_xboole_1,t65_xboole_1,8.0
t68_xboole_1,symmetry_r1_xboole_0,0.0
t68_xboole_1,t2_xboole_1,4.0
t68_xboole_1,t20_xboole_1,0.0
t68_xboole_1,t59_xboole_1,0.0
t68_xboole_1,t22_xboole_1,inf
t68_xboole_1,t28_xboole_1,0.0
t68_xboole_1,t42_xboole_1,inf
t68_xboole_1,t51_xboole_1,inf
t68_xboole_1,t1_boole,inf
t68_xboole_1,t5_xboole_1,inf
t68_xboole_1,t63_xboole_1,0.0
t68_xboole_1,t17_xboole_1,5.41866175903543
t68_xboole_1,t5_xboole_0,0.0
t68_xboole_1,t38_xboole_1,13.674647036141721
t68_xboole_1,t46_xboole_1,inf
t68_xboole_1,commutativity_k2_xboole_0,inf
t68_xboole_1,dt_k2_xboole_0,inf
t68_xboole_1,t53_xboole_1,inf
t68_xboole_1,t8_boole,0.0
t68_xboole_1,t61_xboole_1,inf
t68_xboole_1,t49_xboole_1,inf
t68_xboole_1,t58_xboole_1,0.0
t68_xboole_1,t25_xboole_1,inf
t68_xboole_1,t7_xboole_1,6.8373235180708605
t68_xboole_1,t48_xboole_1,inf
t68_xboole_1,t3_xboole_1,8.0
t68_xboole_1,idempotence_k3_xboole_0,inf
t68_xboole_1,t47_xboole_1,inf
t68_xboole_1,d3_xboole_0,inf
t68_xboole_1,t21_xboole_1,inf
t68_xboole_1,idempotence_k2_xboole_0,inf
t68_xboole_1,t2_tarski,inf
t68_xboole_1,t64_xboole_1,0.0
t68_xboole_1,t9_xboole_1,4.0
t68_xboole_1,dt_o_0_0_xboole_0,8.0
t68_xboole_1,t50_xboole_1,inf
t68_xboole_1,t27_xboole_1,2.6666666666666665
t68_xboole_1,fc1_xboole_0,8.0
t68_xboole_1,rc1_xboole_0,0.0
t68_xboole_1,t6_xboole_1,inf
t68_xboole_1,d5_xboole_0,inf
t68_xboole_1,dt_k1_xboole_0,inf
t68_xboole_1,t4_xboole_1,inf
t68_xboole_1,t1_xboole_0,inf
t68_xboole_1,t14_xboole_1,0.0
t68_xboole_1,t29_xboole_1,8.0
t68_xboole_1,antisymmetry_r2_xboole_0,inf
t68_xboole_1,t44_xboole_1,4.0
t68_xboole_1,t2_xboole_0,inf
t68_xboole_1,t45_xboole_1,0.0
t68_xboole_1,t6_xboole_0,inf
t68_xboole_1,fc5_xboole_0,4.0
t68_xboole_1,t56_xboole_1,inf
t68_xboole_1,fc4_xboole_0,4.0
t68_xboole_1,t11_xboole_1,2.0
t68_xboole_1,t60_xboole_1,0.0
t68_xboole_1,t35_xboole_1,2.6666666666666665
t68_xboole_1,d6_xboole_0,inf
t68_xboole_1,t15_xboole_1,inf
t68_xboole_1,l58_xboole_1,0.0
t68_xboole_1,t33_xboole_1,4.0
t68_xboole_1,commutativity_k5_xboole_0,inf
t68_xboole_1,irreflexivity_r2_xboole_0,inf
t68_xboole_1,t57_xboole_1,inf
t68_xboole_1,t10_xboole_1,2.0
