t166_funct_2 conjecture
cc1_relset_1 axiom
cc4_relset_1 axiom
cc5_funct_2 axiom
commutativity_k3_xboole_0 axiom
d4_xboole_0 axiom
d6_partfun1 axiom
d7_partfun1 axiom
dt_k1_relset_1 axiom
dt_k9_subset_1 axiom
dt_o_0_0_xboole_0 axiom
existence_m1_subset_1 axiom
redefinition_k1_relset_1 axiom
redefinition_k9_subset_1 axiom
redefinition_r1_relset_1 axiom
symmetry_r1_partfun1 axiom
t148_funct_2 axiom
t158_partfun1 axiom
t171_partfun1 axiom
t2_boole axiom
t2_subset axiom
t3_subset axiom
t4_subset axiom
t5_subset axiom
t6_boole axiom
t8_grfunc_1 axiom
