t54_lattices conjecture
rc14_lattices axiom
d23_lattices axiom
existence_m1_subset_1 axiom
dt_l2_lattices axiom
d3_struct_0 axiom
t4_subset axiom
redefinition_k4_lattices axiom
t1_subset axiom
dt_k4_lattices axiom
reflexivity_r3_lattices axiom
dt_k2_lattices axiom
dt_l1_lattices axiom
dt_l3_lattices axiom
redefinition_r3_lattices axiom
cc1_lattices axiom
t2_subset axiom
commutativity_k4_lattices axiom
t8_subset_1 axiom
t5_subset axiom
d22_lattices axiom
t23_lattices axiom
t7_boole axiom
dt_k2_struct_0 axiom
