t34_subset_1 conjecture
t53_xboole_1 axiom
idempotence_k3_xboole_0 axiom
existence_m1_subset_1 axiom
dt_k6_subset_1 axiom
dt_k9_subset_1 axiom
t1_boole axiom
involutiveness_k3_subset_1 axiom
redefinition_k9_subset_1 axiom
t6_boole axiom
redefinition_k5_subset_1 axiom
dt_k5_subset_1 axiom
idempotence_k2_xboole_0 axiom
dt_k3_subset_1 axiom
commutativity_k2_xboole_0 axiom
t28_xboole_1 axiom
t3_boole axiom
commutativity_k3_xboole_0 axiom
redefinition_k4_subset_1 axiom
d1_zfmisc_1 axiom
redefinition_k6_subset_1 axiom
t102_xboole_1 axiom
d2_subset_1 axiom
d5_subset_1 axiom
t8_boole axiom
t2_boole axiom
