t42_tex_2 conjecture
rc2_tops_1 axiom
rc1_realset1 axiom
rc3_tops_1 axiom
redefinition_k6_domain_1 axiom
rc1_xboole_0 axiom
existence_m1_subset_1 axiom
cc1_subset_1 axiom
cc2_pre_topc axiom
rc10_pre_topc axiom
t41_tex_2 axiom
cc5_funct_1 axiom
cc2_relat_1 axiom
rc1_tops_1 axiom
rc2_realset1 axiom
rc3_realset1 axiom
t1_subset axiom
rc2_subset_1 axiom
rc1_relat_1 axiom
rc1_subset_1 axiom
existence_l1_pre_topc axiom
t2_subset axiom
dt_k6_domain_1 axiom
antisymmetry_r2_hidden axiom
rc2_xboole_0 axiom
cc1_realset1 axiom
cc1_tops_1 axiom
cc1_relat_1 axiom
t3_subset axiom
rc1_tex_2 axiom
t37_zfmisc_1 axiom
rc6_pre_topc axiom
t7_boole axiom
t8_boole axiom
rc7_pre_topc axiom
