t6_tmap_1 conjecture
idempotence_k3_xboole_0 axiom
dt_k1_tmap_1 axiom
irreflexivity_r1_subset_1 axiom
cc3_relset_1 axiom
dt_k9_subset_1 axiom
t38_funct_2 axiom
redefinition_k9_subset_1 axiom
symmetry_r1_xboole_0 axiom
redefinition_r1_subset_1 axiom
commutativity_k2_xboole_0 axiom
d7_xboole_0 axiom
d1_tmap_1 axiom
t17_xboole_1 axiom
commutativity_k3_xboole_0 axiom
redefinition_k4_subset_1 axiom
commutativity_k4_subset_1 axiom
redefinition_k2_partfun1 axiom
commutativity_k9_subset_1 axiom
t8_boole axiom
t2_boole axiom
