t49_waybel_0 conjecture
antisymmetry_r2_hidden axiom
d10_xboole_0 axiom
d20_waybel_0 axiom
d22_waybel_0 axiom
d3_tarski axiom
d8_lattice3 axiom
dt_k4_waybel_0 axiom
dt_k6_domain_1 axiom
dt_k6_waybel_0 axiom
dt_l1_orders_2 axiom
dt_o_0_0_xboole_0 axiom
existence_l1_orders_2 axiom
existence_l1_struct_0 axiom
existence_m1_subset_1 axiom
rc2_yellow_0 axiom
redefinition_k6_domain_1 axiom
redefinition_r3_orders_2 axiom
reflexivity_r3_orders_2 axiom
t18_waybel_0 axiom
t1_subset axiom
t2_subset axiom
t3_subset axiom
t4_subset axiom
t5_subset axiom
t6_boole axiom
t7_boole axiom
t8_boole axiom
