t29_funct_2 conjecture
fc13_relat_1 axiom
cc2_relat_1 axiom
t29_relset_1 axiom
t113_zfmisc_1 axiom
t162_funct_1 axiom
redefinition_k6_partfun1 axiom
d10_xboole_0 axiom
t62_relat_1 axiom
fc6_relat_1 axiom
t150_relat_1 axiom
fc1_xboole_0 axiom
redefinition_k4_relset_1 axiom
d19_relat_1 axiom
t4_subset_1 axiom
t26_funct_2 axiom
redefinition_k2_relset_1 axiom
t24_funct_2 axiom
t52_funct_1 axiom
d3_funct_2 axiom
redefinition_r2_relset_1 axiom
dt_k4_relset_1 axiom
cc3_funct_1 axiom
cc2_funct_1 axiom
t81_relat_1 axiom
redefinition_k1_partfun1 axiom
