t17_lattice3 conjecture
cc1_lattice3 axiom
cc1_relset_1 axiom
cc1_subset_1 axiom
cc2_lattice3 axiom
cc2_relat_1 axiom
cc3_funct_1 axiom
cc4_relset_1 axiom
cc6_funct_2 axiom
commutativity_k12_lattice3 axiom
commutativity_k13_lattice3 axiom
d10_xboole_0 axiom
d2_subset_1 axiom
dt_k12_lattice3 axiom
dt_k13_lattice3 axiom
dt_l1_orders_2 axiom
existence_l1_orders_2 axiom
existence_m1_subset_1 axiom
l26_lattice3 axiom
l28_lattice3 axiom
l3_subset_1 axiom
rc1_connsp_1 axiom
rc1_subset_1 axiom
rc2_subset_1 axiom
redefinition_k12_lattice3 axiom
redefinition_k13_lattice3 axiom
t113_zfmisc_1 axiom
t13_lattice3 axiom
t14_lattice3 axiom
t15_lattice3 axiom
t16_lattice3 axiom
t1_subset axiom
t24_orders_2 axiom
t25_orders_2 axiom
t25_relset_1 axiom
t2_subset axiom
t2_tarski axiom
t30_orders_2 axiom
t3_subset axiom
t3_xboole_1 axiom
t4_subset axiom
t4_subset_1 axiom
t5_subset axiom
t6_boole axiom
t9_funct_2 axiom
