t52_lattices conjecture
t27_lattices axiom
t47_lattices axiom
t40_lattices axiom
cc5_lattices axiom
dt_k7_lattices axiom
d16_lattices axiom
redefinition_r3_lattices axiom
dt_l3_lattices axiom
redefinition_k3_lattices axiom
redefinition_k4_lattices axiom
d3_lattices axiom
commutativity_k3_lattices axiom
cc4_lattices axiom
cc1_lattices axiom
dt_k6_lattices axiom
dt_k5_lattices axiom
commutativity_k4_lattices axiom
t31_lattices axiom
d9_lattices axiom
dt_k4_lattices axiom
t21_lattices axiom
t43_lattices axiom
t49_lattices axiom
t50_lattices axiom
t48_lattices axiom
