t55_setfam_1 conjecture
t92_xboole_1 axiom
involutiveness_k7_setfam_1 axiom
t22_subset_1 axiom
t70_enumset1 axiom
t71_enumset1 axiom
d6_enumset1 axiom
t49_setfam_1 axiom
t1_zfmisc_1 axiom
t46_setfam_1 axiom
t73_enumset1 axiom
idempotence_k3_xboole_0 axiom
t51_setfam_1 axiom
t100_xboole_1 axiom
dt_k1_subset_1 axiom
t74_enumset1 axiom
d3_subset_1 axiom
d4_subset_1 axiom
t39_zfmisc_1 axiom
t20_zfmisc_1 axiom
t69_enumset1 axiom
t37_zfmisc_1 axiom
dt_k7_setfam_1 axiom
t12_setfam_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t2_subset axiom
fc1_subset_1 axiom
t63_subset_1 axiom
