t67_tmap_1 conjecture
antisymmetry_r2_hidden axiom
cc1_finset_1 axiom
cc1_funct_1 axiom
cc1_pre_topc axiom
cc1_relat_1 axiom
cc1_relset_1 axiom
cc1_subset_1 axiom
cc2_funct_1 axiom
cc3_funct_1 axiom
cc3_relset_1 axiom
cc4_relset_1 axiom
cc6_funct_2 axiom
d10_xboole_0 axiom
d18_relat_1 axiom
d19_relat_1 axiom
d1_funct_1 axiom
d1_relat_1 axiom
d1_tarski axiom
d1_xboole_0 axiom
d1_zfmisc_1 axiom
d2_subset_1 axiom
d2_tarski axiom
d3_relat_1 axiom
d3_tarski axiom
d7_xboole_0 axiom
dt_g1_pre_topc axiom
dt_k1_lattice3 axiom
dt_k2_struct_0 axiom
dt_k2_tmap_1 axiom
dt_k2_yellow_1 axiom
dt_k6_domain_1 axiom
dt_k6_partfun1 axiom
dt_k6_subset_1 axiom
dt_k7_subset_1 axiom
dt_l1_lattices axiom
dt_l1_orders_2 axiom
dt_l1_pre_topc axiom
dt_l2_lattices axiom
dt_l3_lattices axiom
dt_m1_pre_topc axiom
dt_m2_filter_1 axiom
existence_l1_lattices axiom
existence_l1_orders_2 axiom
existence_l1_pre_topc axiom
existence_l1_struct_0 axiom
existence_l2_lattices axiom
existence_l3_lattices axiom
existence_m1_subset_1 axiom
existence_m2_filter_1 axiom
fc10_finset_1 axiom
fc11_finset_1 axiom
fc11_funct_2 axiom
fc12_finset_1 axiom
fc1_funct_1 axiom
fc1_lattice3 axiom
fc1_relat_1 axiom
fc1_subset_1 axiom
fc1_wellord2 axiom
fc1_xboole_0 axiom
fc24_relat_1 axiom
fc2_finset_1 axiom
fc2_lattice3 axiom
fc2_relat_1 axiom
fc2_relset_1 axiom
fc2_struct_0 axiom
fc3_lattice3 axiom
fc3_partfun1 axiom
fc3_relat_1 axiom
fc3_relset_1 axiom
fc3_zfmisc_1 axiom
fc4_funct_1 axiom
fc4_zfmisc_1 axiom
fc5_relat_1 axiom
fc5_relset_1 axiom
fc5_yellow_1 axiom
fc6_relat_1 axiom
fc6_relset_1 axiom
fc7_lattice3 axiom
fc7_relat_1 axiom
fc9_finset_1 axiom
l24_zfmisc_1 axiom
l29_wellord1 axiom
l29_zfmisc_1 axiom
l32_xboole_1 axiom
rc10_struct_0 axiom
rc11_lattices axiom
rc11_pre_topc axiom
rc13_lattices axiom
rc1_compts_1 axiom
rc1_connsp_1 axiom
rc1_filter_0 axiom
rc1_finset_1 axiom
rc1_funct_1 axiom
rc1_funct_2 axiom
rc1_orders_2 axiom
rc1_ordinal1 axiom
rc1_partfun1 axiom
rc1_pre_topc axiom
rc1_relat_1 axiom
rc1_relset_1 axiom
rc1_subset_1 axiom
rc1_waybel_0 axiom
rc1_xboole_0 axiom
rc1_yellow_0 axiom
rc2_compts_1 axiom
rc2_finset_1 axiom
rc2_funct_1 axiom
rc2_partfun1 axiom
rc2_pre_topc axiom
rc2_subset_1 axiom
rc2_xboole_0 axiom
rc3_finset_1 axiom
rc3_funcop_1 axiom
rc3_lattices axiom
rc3_partfun1 axiom
rc4_orders_2 axiom
rc5_finset_1 axiom
rc6_funct_1 axiom
rc6_lattices axiom
rc6_pre_topc axiom
rc9_lattices axiom
