t75_zfmisc_1 conjecture
l32_xboole_1 axiom
t55_zfmisc_1 axiom
t98_xboole_1 axiom
l1_zfmisc_1 axiom
t65_xboole_1 axiom
commutativity_k2_xboole_0 axiom
t91_enumset1 axiom
t42_zfmisc_1 axiom
t46_xboole_1 axiom
t12_xboole_1 axiom
t3_boole axiom
idempotence_k2_xboole_0 axiom
t7_xboole_0 axiom
fc1_xboole_0 axiom
t70_zfmisc_1 axiom
t100_xboole_1 axiom
t101_xboole_1 axiom
t47_xboole_1 axiom
t2_boole axiom
t48_xboole_1 axiom
t6_boole axiom
t88_enumset1 axiom
d2_tarski axiom
t4_boole axiom
t38_zfmisc_1 axiom
t41_enumset1 axiom
l33_zfmisc_1 axiom
